home,away,game_id,home_win,season_num,date,reg_season,winner,hpg,hpb,hcg,hcb,apg,apb,acg,acb
Golden State Warriors,Phoenix Suns,22300062,False,71,2023-10-24,True,Phoenix Suns,0.7097,0.6325,0.036340625,0.03070625,0.7069,0.6253,0.0362609375,0.0305796875
Denver Nuggets,Los Angeles Lakers,22300061,True,71,2023-10-24,True,Denver Nuggets,0.6946,0.6298,0.0354796875,0.0305375,0.7078,0.6224,0.036190625,0.030465625
Miami Heat,Detroit Pistons,22300068,True,71,2023-10-25,True,Miami Heat,0.7125,0.6192,0.0363,0.030696875,0.7028,0.6276,0.035878125,0.0307296875
Indiana Pacers,Washington Wizards,22300064,True,71,2023-10-25,True,Indiana Pacers,0.7077,0.6236,0.0360578125,0.03073125,0.7095,0.6246,0.0360484375,0.0304796875
LA Clippers,Portland Trail Blazers,22300074,True,71,2023-10-25,True,LA Clippers,0.7013,0.6283,0.0356375,0.0309375,0.6964,0.635,0.0357359375,0.0307625
San Antonio Spurs,Dallas Mavericks,22300073,False,71,2023-10-25,True,Dallas Mavericks,0.7153,0.6325,0.0364921875,0.0308984375,0.71,0.626,0.0360734375,0.0305859375
Toronto Raptors,Minnesota Timberwolves,22300069,True,71,2023-10-25,True,Toronto Raptors,0.7055,0.6313,0.03589375,0.0309640625,0.7045,0.6257,0.03595,0.03065625
Utah Jazz,Sacramento Kings,22300072,False,71,2023-10-25,True,Sacramento Kings,0.7149,0.6289,0.0361203125,0.031059375,0.7173,0.6273,0.0367359375,0.0307390625
Charlotte Hornets,Atlanta Hawks,22300063,True,71,2023-10-25,True,Charlotte Hornets,0.7012,0.6241,0.0357234375,0.030528125,0.7045,0.6265,0.035928125,0.0304578125
New York Knicks,Boston Celtics,22300065,False,71,2023-10-25,True,Boston Celtics,0.7061,0.6233,0.0359015625,0.0307234375,0.7048,0.6337,0.0358375,0.0308953125
Orlando Magic,Houston Rockets,22300066,True,71,2023-10-25,True,Orlando Magic,0.7005,0.6345,0.0355515625,0.031065625,0.7046,0.6364,0.0361109375,0.0313296875
Chicago Bulls,Oklahoma City Thunder,22300070,False,71,2023-10-25,True,Oklahoma City Thunder,0.7007,0.6286,0.035603125,0.0305640625,0.7058,0.6409,0.03585625,0.0316671875
