team,conference
Milwaukee Bucks,East
Los Angeles Lakers,West
Portland Trail Blazers,West
Phoenix Suns,West
Minnesota Timberwolves,West
Charlotte Hornets,East
Memphis Grizzlies,West
Utah Jazz,West
San Antonio Spurs,West
New York Knicks,East
New Orleans Pelicans,West
Detroit Pistons,East
Toronto Raptors,East
Atlanta Hawks,East
Golden State Warriors,West
Miami Heat,East
Sacramento Kings,West
Philadelphia 76ers,East
Boston Celtics,East
Denver Nuggets,West
Chicago Bulls,East
Houston Rockets,West
Orlando Magic,East
Cleveland Cavaliers,East
Washington Wizards,East
LA Clippers,West
Indiana Pacers,East
Oklahoma City Thunder,West
Brooklyn Nets,East
Dallas Mavericks,West
